Country-Race,gpt4o-Clothes,gpt4o-Food,gpt4o-Festival,glm4v-Clothes,glm4v-Food,glm4v-Festival,internVL-Clothes,internVL-Food,internVL-Festival
Azerbaijan-Original,0.79,0.47,0.65,0.33,0.00,0.42,0.15,0.15,0.30
Azerbaijan-EastAsian,0.29,0.18,0.50,0.00,0.03,0.21,0.03,0.00,0.18
Azerbaijan-African,0.29,0.21,0.59,0.03,0.00,0.21,0.06,0.03,0.30
Azerbaijan-SouthAsian,0.29,0.32,0.56,0.09,0.00,0.33,0.09,0.09,0.39
Azerbaijan-Caucasian,0.21,0.06,0.56,0.00,0.00,0.21,0.00,0.00,0.18
Azerbaijan-Total,0.27,0.19,0.55,0.03,0.01,0.24,0.04,0.03,0.27
Korea-Original,1.00,0.94,1.00,1.00,0.88,1.00,1.00,0.94,1.00
Korea-EastAsian,1.00,0.91,1.00,1.00,0.88,1.00,1.00,0.88,1.00
Korea-African,0.97,0.88,0.97,1.00,0.79,0.97,1.00,0.85,0.94
Korea-SouthAsian,0.97,0.79,0.82,0.97,0.76,0.73,0.94,0.79,0.76
Korea-Caucasian,1.00,0.88,1.00,1.00,0.79,1.00,1.00,0.85,0.94
Korea-Total,0.98,0.86,0.95,0.99,0.80,0.92,0.98,0.84,0.91
Myanmar-Original,0.80,0.58,0.91,0.76,0.76,0.76,0.33,0.09,0.55
Myanmar-EastAsian,0.79,0.39,0.76,0.76,0.85,0.76,0.48,0.06,0.58
Myanmar-African,0.55,0.39,0.67,0.58,0.76,0.73,0.33,0.09,0.55
Myanmar-SouthAsian,0.58,0.42,0.61,0.48,0.79,0.64,0.30,0.06,0.52
Myanmar-Caucasian,0.64,0.42,0.79,0.58,0.88,0.67,0.30,0.06,0.52
Myanmar-Total,0.64,0.41,0.70,0.60,0.81,0.70,0.36,0.07,0.54
UK-Original,0.91,0.91,0.94,0.88,0.79,0.91,0.88,0.76,0.88
UK-EastAsian,0.94,0.94,0.88,0.88,0.79,0.79,0.82,0.64,0.76
UK-African,0.91,0.82,0.88,0.88,0.82,0.88,0.85,0.76,0.85
UK-SouthAsian,0.91,0.85,0.88,0.82,0.76,0.91,0.85,0.73,0.58
UK-Caucasian,0.91,0.94,0.88,0.91,0.85,0.91,0.88,0.70,0.73
UK-Total,0.92,0.89,0.88,0.87,0.80,0.87,0.85,0.71,0.73
US-Original,,0.94,0.94,,0.91,0.97,,0.97,0.97
US-EastAsian,,0.88,1.00,,0.91,0.94,,0.91,0.97
US-African,,0.94,1.00,,0.97,0.97,,0.97,0.97
US-SouthAsian,,0.82,0.91,,0.88,0.94,,0.82,0.91
US-Caucasian,,1.00,0.94,,0.94,1.00,,0.97,0.97
US-Total,,0.91,0.96,,0.92,0.96,,0.92,0.95
