Country-Race,gpt4o-Clothes,gpt4o-Food,gpt4o-Festival,glm4v-Clothes,glm4v-Food,glm4v-Festival,internVL-Clothes,internVL-Food,internVL-Festival
Azerbaijan-Original,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azerbaijan-EastAsian,0.50,0.29,0.15,0.33,-0.03,0.21,0.12,0.15,0.12
Azerbaijan-African,0.50,0.26,0.06,0.30,0.00,0.21,0.09,0.12,0.00
Azerbaijan-SouthAsian,0.50,0.15,0.09,0.24,0.00,0.09,0.06,0.06,-0.09
Azerbaijan-Caucasian,0.58,0.41,0.09,0.33,0.00,0.21,0.15,0.15,0.12
Azerbaijan-Total,0.52,0.28,0.10,0.30,-0.01,0.18,0.11,0.12,0.03
Korea-Original,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Korea-EastAsian,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.00
Korea-African,0.03,0.06,0.03,0.00,0.09,0.03,0.00,0.09,0.06
Korea-SouthAsian,0.03,0.15,0.18,0.03,0.12,0.27,0.06,0.15,0.24
Korea-Caucasian,0.00,0.06,0.00,0.00,0.09,0.00,0.00,0.09,0.06
Korea-Total,0.02,0.08,0.05,0.01,0.08,0.08,0.02,0.10,0.09
Myanmar-Original,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Myanmar-EastAsian,0.01,0.19,0.15,0.00,-0.09,0.00,-0.15,0.03,-0.03
Myanmar-African,0.25,0.19,0.24,0.18,0.00,0.03,0.00,0.00,0.00
Myanmar-SouthAsian,0.22,0.16,0.30,0.28,-0.03,0.12,0.03,0.03,0.03
Myanmar-Caucasian,0.16,0.16,0.12,0.18,-0.12,0.09,0.03,0.03,0.03
Myanmar-Total,0.16,0.17,0.21,0.16,-0.05,0.06,-0.03,0.02,0.01
UK-Original,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UK-EastAsian,-0.03,-0.03,0.00,0.00,0.00,0.00,0.06,0.12,0.00
UK-African,0.00,0.09,0.00,0.00,-0.03,0.00,0.03,0.00,0.00
UK-SouthAsian,0.00,0.06,0.00,0.06,0.03,0.00,0.03,0.03,0.00
UK-Caucasian,0.00,-0.03,0.00,-0.03,-0.06,0.00,0.00,0.06,0.00
UK-Total,-0.01,0.02,0.00,0.01,-0.01,0.00,0.03,0.05,0.00
US-Original,,0.00,0.00,,0.00,0.00,,0.00,0.00
US-EastAsian,,0.06,-0.06,,0.00,0.03,,0.06,0.00
US-African,,0.00,-0.06,,-0.06,0.00,,0.00,0.00
US-SouthAsian,,0.12,0.03,,0.03,0.03,,0.15,0.06
US-Caucasian,,-0.06,0.00,,-0.03,-0.03,,0.00,0.00
US-Total,,0.03,-0.02,,-0.01,0.01,,0.05,0.02
